Label,Style
Bordeaux-style Red Blend,Red
Bordeaux-style White Blend,White
Cabernet Franc,Red
Cabernet Sauvignon,Red
Champagne Blend,Sparkling
Chardonnay,White
Gamay,Red
Gewürztraminer,White
Grüner Veltliner,White
Malbec,Red
Merlot,Red
Nebbiolo,Red
Petite Sirah,Red
Pinot Grigio,White
Pinot Gris,White
Pinot Noir,Red
Portuguese Red,Red
Portuguese White,White
Prosecco,Sparkling
Red Blend,Red
Rhône-style Red Blend,Red
Riesling,White
Rosé,Red
Sangiovese,Red
Sauvignon Blanc,White
Shiraz,Red
Sparkling Blend,Sparkling
Syrah,Red
Tempranillo,Red
Viognier,White
White Blend,White
Zinfandel,Red
Albariño,White
Barbera,Red
Carmenère,Red
Chenin Blanc,White
"Corvina, Rondinella, Molinara",Red
Garnacha,Red
Grenache,Red
Montepulciano,Red
Nero d'Avola,Red
Pinot Blanc,White
Port,Fortified
Sangiovese Grosso,Red
Tempranillo Blend,Red
